iter	Accuracy	Logloss
534	0.9506666667	0.2494207808
535	0.9533333333	0.2492305002
536	0.9533333333	0.2490915255
537	0.9546666667	0.2488448458
538	0.9533333333	0.2478760466
539	0.9573333333	0.2468442599
540	0.9586666667	0.2464961926
541	0.9586666667	0.2460258093
542	0.9573333333	0.2459199389
543	0.9573333333	0.2458728059
544	0.9586666667	0.245338383
545	0.9586666667	0.2452603691
546	0.9573333333	0.2450569193
547	0.956	0.24480357
548	0.956	0.2445661156
549	0.956	0.2441932595
550	0.956	0.2441309654
551	0.9573333333	0.2437712726
552	0.9586666667	0.2435284867
553	0.9573333333	0.2432349506
554	0.9586666667	0.243160748
555	0.9586666667	0.2429967542
556	0.9586666667	0.2426361506
557	0.9573333333	0.2417346311
558	0.9586666667	0.2415534807
559	0.9586666667	0.2408234225
560	0.96	0.2403755398
561	0.96	0.2402065804
562	0.96	0.2397616471
563	0.96	0.2395246882
564	0.96	0.2394595626
565	0.96	0.2391902863
566	0.96	0.238574214
567	0.96	0.2378590765
568	0.9613333333	0.2371376695
569	0.9626666667	0.2365213809
570	0.9626666667	0.2360878792
571	0.9626666667	0.2355731703
572	0.9626666667	0.2352588165
573	0.9626666667	0.2348715138
574	0.9626666667	0.2347744894
575	0.9626666667	0.2343832687
576	0.9626666667	0.2340144518
577	0.9613333333	0.2331087459
578	0.9613333333	0.2330831965
579	0.9653333333	0.2318624292
580	0.9653333333	0.2317636749
581	0.9653333333	0.2314231032
582	0.9666666667	0.2312650331
583	0.9653333333	0.2302561585
584	0.9653333333	0.2301933456
585	0.9666666667	0.2297805139
586	0.9666666667	0.2291629232
587	0.9653333333	0.2286222426
588	0.9653333333	0.2283882471
589	0.9653333333	0.2283512147
590	0.9653333333	0.2279537812
591	0.9653333333	0.2277708179
592	0.9653333333	0.2272849768
593	0.9653333333	0.2270209538
594	0.9666666667	0.2264969923
595	0.9666666667	0.2258735321
596	0.9666666667	0.2252413599
597	0.9666666667	0.2249729537
598	0.9666666667	0.2249008187
599	0.9666666667	0.2241492479
600	0.9666666667	0.2235913258
601	0.968	0.222746016
602	0.968	0.222650817
603	0.968	0.2223812886
604	0.968	0.2221082816
605	0.968	0.2216929683
606	0.968	0.221637394
607	0.9693333333	0.2212425732
608	0.9693333333	0.2210808323
609	0.9706666667	0.2206975451
610	0.9706666667	0.2205838649
611	0.9706666667	0.2203772401
612	0.9706666667	0.2200231931
613	0.9706666667	0.2196963113
614	0.9706666667	0.219384212
