iter	Passed	Remaining
903	65695	43312
904	65783	43250
905	65864	43182
906	65941	43112
907	66030	43050
908	66109	42981
909	66195	42918
910	66286	42856
911	66369	42791
912	66458	42728
913	66561	42674
914	66643	42607
915	66724	42540
916	66815	42479
917	66899	42413
918	66983	42347
919	67079	42289
920	67162	42222
921	67242	42154
922	67329	42090
923	67409	42021
924	67493	41955
925	67587	41895
926	67671	41829
927	67753	41762
928	67780	41660
929	67891	41610
930	67980	41547
931	68077	41489
932	68180	41434
933	68275	41374
934	68360	41308
935	68447	41243
936	68534	41179
937	68623	41115
938	68714	41052
939	68796	40985
940	68888	40923
941	68969	40854
942	69046	40783
943	69135	40719
944	69223	40655
945	69304	40586
946	69388	40519
947	69471	40451
948	69563	40389
949	69672	40336
950	69771	40278
951	69854	40210
952	69937	40142
953	70019	40074
954	70115	40013
955	70203	39948
956	70289	39881
957	70369	39812
958	70443	39739
959	70530	39673
960	70615	39606
961	70695	39536
962	70780	39469
963	70869	39404
964	70945	39332
965	71023	39261
966	71115	39198
967	71192	39126
968	71278	39059
969	71371	38996
970	71455	38928
971	71551	38867
972	71663	38814
973	71763	38755
974	71860	38693
975	71943	38625
976	72024	38555
977	72111	38489
978	72191	38418
979	72266	38345
980	72350	38276
981	72437	38210
982	72525	38144
983	72628	38085
984	72745	38034
985	72836	37969
986	72938	37910
987	73023	37842
988	73106	37773
989	73195	37706
990	73297	37647
991	73396	37586
992	73495	37524
993	73584	37458
994	73676	37393
995	73769	37329
996	73849	37258
997	73927	37186
998	74016	37119
999	74092	37046
1000	74171	36974
1001	74255	36905
1002	74331	36832
1003	74423	36766
1004	74531	36709
1005	74624	36644
1006	74709	36575
1007	74798	36508
1008	74889	36442
1009	74984	36378
1010	75079	36314
1011	75168	36247
1012	75262	36182
1013	75349	36114
1014	75439	36047
1015	75536	35983
1016	75621	35914
1017	75717	35850
1018	75805	35782
1019	75895	35715
1020	75980	35646
1021	76061	35574
1022	76152	35507
1023	76234	35436
1024	76316	35366
1025	76402	35297
1026	76487	35227
1027	76566	35154
1028	76658	35088
1029	76770	35030
1030	76853	34960
1031	76936	34889
1032	77018	34818
1033	77121	34756
1034	77217	34692
1035	77309	34625
1036	77403	34559
1037	77492	34490
1038	77580	34422
1039	77671	34354
1040	77763	34287
1041	77849	34217
1042	77932	34146
1043	78009	34073
1044	78085	33998
1045	78168	33927
1046	78254	33857
1047	78328	33782
1048	78411	33711
1049	78492	33639
1050	78575	33568
1051	78659	33497
1052	78753	33431
1053	78842	33362
1054	78941	33297
1055	78996	33214
1056	79084	33145
1057	79172	33075
1058	79261	33006
1059	79346	32936
1060	79437	32867
1061	79544	32806
1062	79654	32745
1063	79734	32673
1064	79819	32602
1065	79899	32529
1066	79987	32459
1067	80063	32385
1068	80139	32310
1069	80227	32240
1070	80308	32168
1071	80385	32094
1072	80469	32022
1073	80549	31949
1074	80628	31876
1075	80716	31806
1076	80794	31732
1077	80889	31665
1078	80968	31592
1079	81051	31519
1080	81129	31446
1081	81216	31375
1082	81302	31304
1083	81389	31234
1084	81483	31166
1085	81555	31090
1086	81635	31017
1087	81726	30947
1088	81812	30877
1089	81900	30806
1090	81987	30735
1091	82068	30662
1092	82151	30590
1093	82237	30519
1094	82324	30448
1095	82417	30380
1096	82522	30315
1097	82612	30245
1098	82707	30178
1099	82807	30111
1100	82895	30041
1101	82986	29971
1102	83076	29901
1103	83163	29830
1104	83257	29761
1105	83356	29694
1106	83441	29623
1107	83526	29551
1108	83612	29479
1109	83702	29409
1110	83787	29337
1111	83871	29264
1112	83955	29192
1113	84050	29123
1114	84132	29050
1115	84215	28977
1116	84303	28906
1117	84388	28834
1118	84472	28761
1119	84563	28691
1120	84645	28617
1121	84724	28543
1122	84814	28472
1123	84905	28402
1124	84996	28332
1125	85083	28260
1126	85165	28186
1127	85247	28113
1128	85331	28040
1129	85415	27967
1130	85500	27895
1131	85585	27822
1132	85635	27739
1133	85721	27666
1134	85810	27595
1135	85889	27521
1136	85966	27445
1137	86047	27371
1138	86130	27298
1139	86212	27225
1140	86293	27151
1141	86372	27076
1142	86453	27002
1143	86534	26928
1144	86615	26854
1145	86694	26780
1146	86781	26707
1147	86860	26633
1148	86936	26557
1149	87028	26486
1150	87121	26416
1151	87217	26346
1152	87297	26272
1153	87389	26201
1154	87494	26134
1155	87596	26066
1156	87697	25998
1157	87785	25926
1158	87872	25853
1159	87954	25779
1160	88036	25705
1161	88119	25632
1162	88207	25559
1163	88294	25487
1164	88378	25413
1165	88461	25339
1166	88544	25265
1167	88634	25194
1168	88722	25121
1169	88808	25048
1170	88893	24975
1171	88981	24902
1172	89062	24828
1173	89153	24756
1174	89245	24684
1175	89334	24612
1176	89439	24544
1177	89550	24478
1178	89651	24408
1179	89739	24336
1180	89834	24265
1181	89930	24194
1182	90022	24122
1183	90112	24050
1184	90197	23976
1185	90283	23903
1186	90368	23829
1187	90461	23757
1188	90551	23684
1189	90631	23609
1190	90723	23537
1191	90815	23465
1192	90903	23392
1193	90992	23319
1194	91072	23244
1195	91159	23171
1196	91240	23095
1197	91322	23021
1198	91411	22948
1199	91487	22871
1200	91564	22795
1201	91654	22723
1202	91736	22648
1203	91825	22575
1204	91931	22506
1205	92026	22434
1206	92115	22361
1207	92212	22289
1208	92292	22214
1209	92375	22139
1210	92464	22066
1211	92551	21992
1212	92643	21919
1213	92731	21846
1214	92821	21773
1215	92903	21697
1216	93008	21628
1217	93086	21552
1218	93170	21477
1219	93262	21404
1220	93355	21331
1221	93442	21257
1222	93534	21184
1223	93617	21109
1224	93709	21036
1225	93799	20963
1226	93895	20891
1227	93984	20817
1228	94085	20746
1229	94165	20670
1230	94244	20594
1231	94329	20519
1232	94411	20444
1233	94488	20367
1234	94579	20294
1235	94660	20218
1236	94740	20142
1237	94827	20068
1238	94907	19992
1239	94981	19915
1240	95069	19841
1241	95152	19765
1242	95227	19689
1243	95319	19615
1244	95401	19539
1245	95485	19464
1246	95570	19390
1247	95665	19317
1248	95749	19241
1249	95835	19167
1250	95916	19091
1251	95994	19014
1252	96077	18939
1253	96159	18863
1254	96240	18787
1255	96324	18712
1256	96401	18636
1257	96480	18559
1258	96570	18485
1259	96663	18412
1260	96754	18338
1261	96850	18265
1262	96937	18190
1263	97030	18116
1264	97117	18041
1265	97208	17967
1266	97298	17893
1267	97398	17820
1268	97482	17744
1269	97572	17670
1270	97659	17595
1271	97740	17519
1272	97819	17443
1273	97899	17366
1274	97983	17291
1275	98062	17214
1276	98147	17139
1277	98234	17064
1278	98320	16988
1279	98407	16913
1280	98492	16838
1281	98580	16763
1282	98676	16689
1283	98759	16613
1284	98845	16538
1285	98934	16463
1286	99016	16387
1287	99100	16311
1288	99193	16237
1289	99286	16162
1290	99395	16091
1291	99520	16021
1292	99618	15948
1293	99697	15871
1294	99777	15794
1295	99867	15719
1296	99950	15643
1297	100030	15567
1298	100112	15490
1299	100188	15413
1300	100269	15337
1301	100363	15262
1302	100446	15186
1303	100532	15110
1304	100623	15035
1305	100714	14960
1306	100817	14887
1307	100919	14813
1308	101006	14738
1309	101095	14662
1310	101173	14585
1311	101254	14508
1312	101345	14433
1313	101437	14358
1314	101520	14282
1315	101613	14207
1316	101710	14132
1317	101800	14057
1318	101883	13981
1319	101977	13906
1320	102062	13829
1321	102147	13753
1322	102234	13677
1323	102321	13601
1324	102403	13525
1325	102487	13448
1326	102563	13371
1327	102647	13294
1328	102730	13218
1329	102824	13142
1330	102912	13067
1331	103020	12993
1332	103105	12917
1333	103199	12841
1334	103279	12764
1335	103364	12688
1336	103443	12611
1337	103527	12534
1338	103611	12458
1339	103689	12380
1340	103778	12304
1341	103858	12227
1342	103940	12150
1343	104024	12074
1344	104104	11997
1345	104186	11920
1346	104285	11845
1347	104372	11768
1348	104454	11692
1349	104549	11616
1350	104636	11540
1351	104720	11463
1352	104808	11387
1353	104889	11310
1354	104967	11232
1355	105062	11157
1356	105153	11081
1357	105239	11004
1358	105325	10927
1359	105408	10850
1360	105487	10773
1361	105568	10696
1362	105649	10619
1363	105724	10541
1364	105809	10464
1365	105897	10388
1366	105973	10310
1367	106061	10234
1368	106148	10157
1369	106227	10080
1370	106317	10003
1371	106403	9926
1372	106485	9849
1373	106577	9773
1374	106665	9696
1375	106750	9619
1376	106834	9542
1377	106919	9466
1378	107005	9389
1379	107092	9312
1380	107171	9234
1381	107261	9158
1382	107354	9082
1383	107438	9004
1384	107525	8928
1385	107612	8851
1386	107693	8773
1387	107777	8696
1388	107868	8620
1389	107950	8542
1390	108028	8465
1391	108119	8388
1392	108205	8311
1393	108295	8234
1394	108384	8157
1395	108469	8080
1396	108548	8003
1397	108633	7926
1398	108717	7848
1399	108803	7771
1400	108887	7694
1401	108966	7616
1402	109047	7539
1403	109130	7461
1404	109220	7385
1405	109334	7309
1406	109446	7234
1407	109531	7156
1408	109616	7079
1409	109700	7002
1410	109786	6924
1411	109863	6847
1412	109951	6769
1413	110042	6692
1414	110126	6615
1415	110212	6538
1416	110317	6461
1417	110406	6384
1418	110495	6307
1419	110575	6229
1420	110661	6152
1421	110747	6074
1422	110826	5996
1423	110907	5919
1424	110989	5841
1425	111070	5763
1426	111148	5685
1427	111235	5608
1428	111319	5530
1429	111401	5453
1430	111493	5376
1431	111576	5298
1432	111653	5220
1433	111746	5143
1434	111840	5065
1435	111931	4988
1436	112025	4911
1437	112114	4833
1438	112204	4756
1439	112293	4678
1440	112386	4601
1441	112471	4523
1442	112557	4446
1443	112645	4368
1444	112736	4290
1445	112834	4213
1446	112942	4136
1447	113035	4059
1448	113115	3981
1449	113196	3903
1450	113302	3826
1451	113389	3748
1452	113474	3670
1453	113563	3592
1454	113641	3514
1455	113720	3436
1456	113803	3358
1457	113882	3280
1458	113964	3202
1459	114050	3124
1460	114134	3046
1461	114221	2968
1462	114305	2890
1463	114383	2812
1464	114459	2734
1465	114544	2656
1466	114627	2578
1467	114703	2500
1468	114789	2422
1469	114866	2344
1470	114948	2266
1471	115039	2188
1472	115125	2110
1473	115213	2032
1474	115303	1954
1475	115388	1876
1476	115475	1798
1477	115554	1720
1478	115642	1641
1479	115732	1563
1480	115812	1485
1481	115895	1407
1482	115992	1329
1483	116080	1251
1484	116173	1173
1485	116269	1095
1486	116348	1017
1487	116426	938
1488	116508	860
1489	116590	782
1490	116671	704
1491	116759	626
1492	116840	547
1493	116922	469
1494	117023	391
1495	117119	313
1496	117212	234
1497	117311	156
1498	117413	78
1499	117501	0
