iter	Accuracy	Logloss
540	0.8380888889	0.3925536869
541	0.8380888889	0.3925535269
542	0.8381333333	0.3924585763
543	0.8381333333	0.3924578431
544	0.8381777778	0.3924542792
545	0.8384444444	0.3923907613
546	0.8384444444	0.3923905987
547	0.8384	0.3923881461
548	0.8384888889	0.392383625
549	0.8384888889	0.3923534434
550	0.8384444444	0.392337364
551	0.8384444444	0.3923306956
552	0.8383555556	0.3923286781
553	0.8382222222	0.3922473173
554	0.8382222222	0.3922471962
555	0.8382222222	0.3921982086
556	0.8382222222	0.3921981973
557	0.8382222222	0.3921980326
558	0.8382222222	0.3921968008
559	0.8381777778	0.3921945973
560	0.8381333333	0.3920840019
561	0.8382222222	0.3920650538
562	0.8382222222	0.3920649245
563	0.8382222222	0.3920648012
564	0.8382222222	0.3920646295
565	0.8382222222	0.3920475103
566	0.8382222222	0.3920457855
567	0.8384444444	0.3919937289
568	0.8384	0.3919266696
569	0.8384888889	0.3918065345
570	0.8384888889	0.391804162
571	0.8383555556	0.3916090523
572	0.8384444444	0.3916027786
573	0.8384444444	0.3915557531
574	0.8384888889	0.3915511809
575	0.8384888889	0.3915499304
576	0.8384444444	0.3915013326
577	0.8385333333	0.391342955
578	0.8385333333	0.3913428397
579	0.8384888889	0.3913425472
580	0.8384888889	0.3913422071
581	0.8384888889	0.3912894012
582	0.8385333333	0.391271127
583	0.8385333333	0.3912686076
584	0.8385333333	0.3912602203
585	0.8385777778	0.3912499916
586	0.8384444444	0.3911280317
587	0.8384444444	0.3911272023
588	0.8383555556	0.3909077666
589	0.8385333333	0.3908157358
590	0.8385777778	0.3908126465
591	0.8386222222	0.3908015148
592	0.8384888889	0.3907606938
593	0.8385333333	0.3907550641
594	0.8385333333	0.390751486
595	0.8385333333	0.3907503377
596	0.8386222222	0.3907501562
597	0.8386222222	0.390742381
598	0.8385333333	0.390725764
599	0.8387111111	0.39069709
600	0.8387111111	0.3906969926
601	0.8387111111	0.3906962118
602	0.8387111111	0.3906898461
603	0.8387111111	0.3906894438
604	0.8388444444	0.3905600734
605	0.8388444444	0.3905600727
606	0.8387555556	0.3905551934
607	0.8387111111	0.3905540191
608	0.8388	0.3905193002
609	0.8387555556	0.3905192595
610	0.8388444444	0.3905155223
611	0.8388444444	0.3905155219
612	0.8388444444	0.3905155214
613	0.8387555556	0.3905110548
614	0.8387555556	0.3905110213
615	0.8387555556	0.3905110185
616	0.8391555556	0.3903341282
617	0.8391111111	0.3903338698
618	0.8390666667	0.3903252399
619	0.8392	0.3902509789
620	0.8392444444	0.3902100424
621	0.8392444444	0.3902046417
622	0.8392888889	0.3901704856
623	0.8392888889	0.390157526
624	0.8393333333	0.3901540066
625	0.8393333333	0.3901395171
626	0.8394222222	0.3901296178
627	0.8395111111	0.3900958323
628	0.8393777778	0.3900296866
629	0.8393777778	0.3900142097
630	0.8395111111	0.3899658672
631	0.8395111111	0.3899658495
632	0.8394222222	0.3898295946
633	0.8393333333	0.3897202575
634	0.8393333333	0.3897187314
635	0.8393333333	0.3896483908
636	0.8393777778	0.3896441778
637	0.8394222222	0.3894951375
638	0.8393333333	0.3894692426
639	0.8392888889	0.3894469688
640	0.8393333333	0.3893252314
641	0.8394666667	0.3892902142
642	0.8394222222	0.3892883139
643	0.8394666667	0.3892685675
644	0.8394222222	0.3892658624
645	0.8394222222	0.3892311307
646	0.8394222222	0.3892311293
647	0.8394222222	0.3892311281
648	0.8393777778	0.3892011625
649	0.8393333333	0.3892005171
650	0.8393777778	0.3891976855
651	0.8394666667	0.3890727403
652	0.8396888889	0.3889916866
653	0.8396888889	0.3889909749
654	0.8398222222	0.3888797427
655	0.8398666667	0.3888758854
656	0.84	0.3888256973
657	0.8400444444	0.3886625947
658	0.8400444444	0.3886625902
659	0.84	0.3886616766
660	0.84	0.3886616748
661	0.84	0.3886616739
662	0.8400444444	0.3886615976
663	0.8400444444	0.3886392625
664	0.84	0.3886268808
665	0.8400888889	0.3886086646
666	0.8400888889	0.3886046881
667	0.8400888889	0.3885476704
668	0.8400444444	0.3885388239
669	0.8400888889	0.3885327049
670	0.8400444444	0.3885288058
671	0.8400888889	0.3885275789
672	0.8400444444	0.3885252449
673	0.8402666667	0.3883535768
674	0.8403111111	0.3883519954
675	0.8400888889	0.3883398494
676	0.8401777778	0.3883320781
677	0.8401777778	0.3883290642
678	0.8401777778	0.3883223468
679	0.8401777778	0.3882322765
680	0.8403111111	0.3881874233
681	0.8401333333	0.3881024918
682	0.8400444444	0.3880905784
683	0.8400444444	0.388037348
684	0.8402666667	0.3879602399
685	0.8401777778	0.3878571104
686	0.8401777778	0.3878549266
687	0.8402222222	0.3878548412
688	0.8403555556	0.3877786261
689	0.8401777778	0.3877184409
690	0.8402222222	0.3877033282
691	0.8401777778	0.3876138601
692	0.8403111111	0.3875673512
693	0.8403111111	0.3875621382
694	0.8403111111	0.3875544514
695	0.8403555556	0.387514844
696	0.8404	0.3875091886
697	0.8403555556	0.3873992262
698	0.8403111111	0.3873162785
699	0.8403555556	0.38731466
700	0.8403555556	0.3873132648
701	0.8403555556	0.3873060018
702	0.8404444444	0.387258896
703	0.8403555556	0.3870712133
704	0.8402666667	0.3870702802
705	0.8402666667	0.3870654115
706	0.8404888889	0.3869277066
707	0.8404888889	0.386911097
708	0.8406222222	0.3869062585
709	0.8406222222	0.3869030764
710	0.8405333333	0.386899879
711	0.8406222222	0.3867851333
712	0.8405777778	0.3867820581
713	0.8407111111	0.3867251219
714	0.8407111111	0.3867167537
715	0.8406666667	0.3867067765
716	0.8407111111	0.3866832763
717	0.8408444444	0.3866790584
718	0.8408444444	0.3866545373
719	0.8408	0.3866384688
720	0.8408888889	0.386579659
721	0.8408888889	0.3865790739
722	0.8408888889	0.3865739091
723	0.8408888889	0.3865734451
724	0.8407111111	0.3865017454
725	0.8407111111	0.3864742076
726	0.8407111111	0.386474189
727	0.8407111111	0.3864675432
728	0.8408444444	0.3864261857
729	0.8408	0.386420352
730	0.8408	0.3863926897
731	0.8408444444	0.3863603453
732	0.8408444444	0.386360113
733	0.8408444444	0.3862898565
734	0.8408	0.3862757551
735	0.8410222222	0.386228826
736	0.8409333333	0.3862178996
737	0.8409333333	0.3862167839
738	0.8409333333	0.3862149202
739	0.8409333333	0.386213121
740	0.8408888889	0.3861295087
741	0.8408444444	0.3861278265
742	0.8409777778	0.3861262241
743	0.8409333333	0.386016381
744	0.8411555556	0.3858384257
745	0.8411111111	0.3857431416
746	0.8411555556	0.3856410788
747	0.8411555556	0.3856396423
748	0.8414222222	0.3854940606
749	0.8414222222	0.3854940593
750	0.8414222222	0.3854940033
751	0.8414666667	0.3853930537
752	0.8415555556	0.3853556541
753	0.8415555556	0.3853498187
754	0.8415555556	0.3853483951
755	0.8413777778	0.3851638854
756	0.8413777778	0.3851638605
757	0.8413777778	0.3851433986
758	0.8413333333	0.3851423933
759	0.8413333333	0.3851395354
760	0.8413333333	0.3850336402
761	0.8414222222	0.3850079027
762	0.8414222222	0.384999691
763	0.8414222222	0.3849840593
764	0.8413777778	0.384980247
765	0.8413777778	0.384980153
766	0.8413777778	0.3849800752
767	0.8414222222	0.3849669823
768	0.8414666667	0.3848904772
769	0.8414222222	0.3848008309
770	0.8414222222	0.3847977331
771	0.8414222222	0.3847933124
772	0.8414222222	0.3847914374
773	0.8414222222	0.3847906424
774	0.8414222222	0.3847796088
775	0.8415555556	0.3847342797
776	0.8416	0.3846659487
777	0.8416	0.3846554513
778	0.8416444444	0.3846109719
779	0.8416	0.3845216366
780	0.8416444444	0.3844479323
781	0.8416444444	0.384442859
782	0.8416444444	0.3844263357
783	0.8415555556	0.3843928736
784	0.8415111111	0.3843545919
785	0.8415555556	0.3843464312
786	0.8416	0.3843435271
787	0.8414666667	0.3842979358
788	0.8414666667	0.3842956396
789	0.8414666667	0.3842710762
790	0.8414666667	0.3842683323
791	0.8414666667	0.3841357878
792	0.8414222222	0.3840480878
793	0.8414222222	0.3840347111
794	0.8413777778	0.3840056958
795	0.8412888889	0.3839625188
796	0.8413777778	0.3839417911
797	0.8414222222	0.3838073894
798	0.8414222222	0.383779376
799	0.8413777778	0.3836413623
800	0.8416444444	0.3835270948
801	0.8416444444	0.3834867305
802	0.8416444444	0.3834481858
803	0.8416444444	0.3834468247
804	0.8416444444	0.383440604
805	0.8416444444	0.383440601
806	0.8416888889	0.3834091775
807	0.8420444444	0.3831900299
808	0.8420444444	0.3831895894
809	0.8420444444	0.3831894402
810	0.8420444444	0.3831893397
811	0.842	0.3831824748
812	0.842	0.3831798935
813	0.842	0.3831798918
814	0.8420444444	0.3831774776
815	0.8421333333	0.3831202397
816	0.8421333333	0.383112268
817	0.8421333333	0.3831122451
818	0.8421333333	0.3831106703
819	0.8421333333	0.3831086426
820	0.8421333333	0.3831064474
821	0.8421333333	0.3830322241
822	0.8421777778	0.3830289895
823	0.8421777778	0.3830278611
824	0.8422222222	0.3829963999
825	0.8422666667	0.3829806729
