iter	Passed	Remaining
913	55677	5238
914	55740	5178
915	55774	5114
916	55854	5055
917	55913	4994
918	56001	4935
919	56078	4876
920	56167	4817
921	56242	4758
922	56311	4697
923	56387	4637
924	56457	4577
925	56517	4516
926	56578	4455
927	56661	4396
928	56740	4336
929	56801	4275
930	56838	4212
931	56895	4151
932	56973	4091
933	57043	4030
934	57100	3969
935	57156	3908
936	57221	3847
937	57278	3786
938	57336	3724
939	57390	3663
940	57452	3602
941	57520	3541
942	57574	3480
943	57627	3418
944	57690	3357
945	57727	3295
946	57784	3233
947	57853	3173
948	57911	3112
949	57976	3051
950	58028	2989
951	58087	2928
952	58149	2867
953	58206	2806
954	58267	2745
955	58319	2684
956	58370	2622
957	58430	2561
958	58494	2500
959	58548	2439
960	58608	2378
961	58662	2317
962	58705	2255
963	58765	2194
964	58820	2133
965	58879	2072
966	58942	2011
967	59004	1950
968	59062	1889
969	59099	1827
970	59165	1767
971	59226	1706
972	59282	1645
973	59337	1583
974	59400	1523
975	59456	1462
976	59506	1400
977	59554	1339
978	59617	1278
979	59675	1217
980	59731	1156
981	59787	1095
982	59849	1035
983	59906	974
984	59957	913
985	60014	852
986	60080	791
987	60137	730
988	60193	669
989	60248	608
990	60310	547
991	60363	486
992	60411	425
993	60456	364
994	60514	304
995	60543	243
996	60601	182
997	60656	121
998	60727	60
999	60786	0
